Month_Day,2023,2024,2025,2026,2027
11-15,76884.00000000058,1911086.0,1246453.0000000002,1599285.0000000002,3334969.999999999
11-16,1488035.9999999995,249888.99999999988,1338890.0000000002,1885526.0000000005,1722213.9999999998
11-17,788942.0,709253.0,178052.99999999942,494875.9999999998,1198180.0
11-18,1030555.9999999999,1860922.0,985410.0,1001102.0,55000.000000000466
11-19,1894886.999999999,1084605.0,353903.99999999965,36315.999999999534,766455.0000000001
11-20,979632.9999999999,196507.99999999988,985410.0,1001102.0,977132.0
11-21,409356.00000000035,995967.0,223947.99999999953,2423678.000000001,1451697.9999999998
11-22,1030555.9999999999,926905.0,1492144.0000000005,1415482.0000000002,63754.00000000023
11-23,982437.9999999999,995967.0,740303.9999999998,1507256.0000000002,2415259.999999999
11-24,673080.0000000002,1367013.0,985410.0,1616300.0000000005,1198180.0
11-25,1030555.9999999999,761751.9999999999,410992.99999999965,1001102.0,57765.000000000466
11-26,1412138.9999999995,1072610.0,1403657.0000000005,1001102.0,216931.00000000023
11-27,1894302.999999999,402777.9999999999,985410.0,1001102.0,541469.0000000001
11-28,1030555.9999999999,119301.99999999988,19199.999999999418,414572.99999999977,929854.0
11-29,232468.00000000047,1375245.0,1182522.0000000002,1791887.0000000005,3127227.999999999
11-30,2113885.999999999,15000.0,1645897.0000000005,2049082.0000000005,1025531.0
12-01,1843618.999999999,995967.0,139499.9999999993,1001102.0,55305.00000000023
12-02,809940.0,8999.999999999884,1553751.0000000005,110607.99999999953,643685.0000000002
12-03,694473.0000000001,2017247.0,382567.99999999965,2581756.000000001,414578.00000000035
12-04,467960.00000000035,1795842.0,985410.0,1530076.0000000002,1140472.0
12-05,1182185.9999999998,409223.9999999999,1842527.0000000007,77184.99999999953,1573209.9999999995
12-06,1551717.9999999995,186282.99999999988,985410.0,193757.99999999953,2006935.9999999995
12-07,1030555.9999999999,588744.0,1147598.0000000002,1001102.0,1092071.0
12-08,2085780.9999999988,899322.0,257841.99999999953,451475.99999999977,1198180.0
12-09,16914.000000000815,728628.0,38999.99999999942,1001102.0,109718.00000000023
